Period,Org,Org Country,Via,Dst,Dst Country,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats_total,Remove,ASMs
2015,MDQ,AR,"",AEP,AR,AR,0,116,238,64,964,111410,,26515580
2015,MDQ,AR,VDM,AEP,AR,AR,1,96,238,202,183,17568,,4181184
2015,MDQ,AR,"",BHI,AR,8R,0,34,254,75,362,12308,,3126232
2015,MDQ,AR,"",EZE,AR,AR,0,96,221,55,1,96,,21216
2015,MDQ,AR,BHI,REL,AR,8R,1,34,543,190,362,12308,,6683244
2015,MDQ,AR,"",ROS,AR,8R,0,34,391,100,2,68,,26588
2015,MDQ,AR,"",RSA,AR,AR,0,96,379,88,79,7584,,2874336
2015,MDQ,AR,"",VDM,AR,AR,0,96,352,70,104,9984,,3514368
2015,MDZ,AR,"",AEP,AR,AR,0,131,608,96,2942,385000,,234080000
2015,MDZ,AR,"",AEP,AR,LA,0,156,608,135,1680,261966,,159275328
2015,MDZ,AR,"",COR,AR,AR,0,122,287,60,733,89228,,25608436
2015,MDZ,AR,NQN,CRD,AR,AR,1,144,898,208,395,56714,,50929172
2015,MDZ,AR,"",EZE,AR,AR,0,96,603,92,339,32544,,19624032
2015,MDZ,AR,ROS,IGR,AR,AR,1,101,990,247,200,20252,,20049480
2015,MDZ,AR,COR,JUJ,AR,AR,1,96,623,183,190,18240,,11363520
2015,MDZ,AR,"",NQN,AR,AR,0,144,423,84,395,56714,,23990022
2015,MDZ,AR,"",ROS,AR,AR,0,120,464,89,43,5180,,2403520
2015,MDZ,AR,"",SLA,AR,AR,0,96,585,100,157,15072,,8817120
2015,MDZ,AR,COR,SLA,AR,AR,1,96,585,180,148,14208,,8311680
2015,NCJ,AR,"",AEP,AR,MCJ,0,19,307,71,198,3762,,1154934
2015,NCJ,AR,"",RCQ,AR,MCJ,0,19,163,40,153,2907,,473841
2015,NQN,AR,"",AEP,AR,AR,0,150,618,97,1769,264570,,163504260
2015,NQN,AR,"",AEP,AR,LA,0,156,618,95,1088,169656,,104847408
2015,NQN,AR,MDZ,COR,AR,AR,1,144,572,179,395,56780,,32478160
2015,NQN,AR,"",CRD,AR,AR,0,144,474,85,395,56714,,26882436
2015,NQN,AR,"",EZE,AR,AR,0,96,602,95,1,96,,57792
2015,NQN,AR,"",EZE,AR,LA,0,156,602,95,1,156,,93912
2015,NQN,AR,"",MDZ,AR,AR,0,144,423,80,395,56780,,24017940
2015,NQN,AR,CRD,RGL,AR,AR,1,121,876,202,181,21964,,19240464
2015,PMY,AR,"",AEP,AR,OY,0,165,671,105,215,35475,,23803725
2015,PRA,AR,"",AEP,AR,AR,0,96,225,60,272,26112,,5875200
2015,PSS,AR,"",AEP,AR,AR,0,133,515,95,930,123704,,63707560
2015,PSS,AR,"",EZE,AR,AR,0,96,535,90,1,96,,51360
2015,RCQ,AR,"",AEP,AR,MCJ,0,19,377,90,2,38,,14326
2015,RCQ,AR,NCJ,AEP,AR,MCJ,1,19,377,130,166,3154,,1189058
2015,RCQ,AR,"",NCJ,AR,MCJ,0,19,163,40,166,3154,,514102
2015,REL,AR,"",AEP,AR,AR,0,126,701,110,1026,129512,,90787912
2015,REL,AR,"",BHI,AR,8R,0,34,349,90,362,12308,,4295492
2015,REL,AR,"",CRD,AR,8R,0,34,208,60,362,12308,,2560064
2015,REL,AR,"",EZE,AR,AR,0,161,681,110,213,34366,,23403246
2015,REL,AR,"",FTE,AR,AR,0,151,583,105,26,3936,,2294688
2015,REL,AR,BHI,MDQ,AR,8R,1,34,543,190,362,12308,,6683244
